mat_alu,nome,dat_entrada,cotista
139,EDEUZA,2022-06-10,N
140,MAGID,2022-06-10,S
141,MEIMEI,2022-06-10,S
142,DALLISON,2022-06-10,S
143,MALISON,2022-06-10,N
144,FRANQUILIN,2022-06-10,S
145,RUDENBERG,2022-06-10,S
146,GEOVANKA,2022-06-10,N
147,JAQUIELSON,2022-06-10,S
148,DURBEM,2022-06-10,N
149,DAIR,2022-06-10,N
150,HIROSHI,2022-06-10,N
151,RENISVALDO,2022-06-10,S
152,VALCINEI,2022-06-10,S
153,ADOMILTON,2022-06-10,N
154,GILBERTO,2022-06-10,S
155,TAYLOR,2022-06-10,S
156,ELIEDNA,2022-06-10,N
157,CHARLETE,2022-06-10,S
158,ASHLLEY,2022-06-10,S
159,FLORISLENE,2022-06-10,S
160,NERINDA,2022-06-10,N
161,WOSHINGTON,2022-06-10,S
162,LUIZA,2022-06-10,S
163,CICERINO,2022-06-10,N
164,EVELIZA,2022-06-10,S
165,DHEIMESON,2022-06-10,S
166,JOISA,2022-06-10,N
167,ELEUZINA,2022-06-10,N
168,JESULINA,2022-06-10,S
169,NATALLIA,2022-06-10,N
170,DEMONTIER,2022-06-10,S
171,DREICY,2022-06-10,S
172,CLAIDES,2022-06-10,S
173,LUZIEMA,2022-06-10,N
174,BETANIO,2022-06-10,S
175,IACI,2022-06-10,S
176,JAILANE,2022-06-10,N
177,ERIKE,2022-06-10,S
178,TAMILA,2022-06-10,N
179,RORIS,2022-06-10,N
180,IVANICE,2022-06-10,S
181,RAMIRA,2022-06-10,N
182,SIOMARA,2022-06-10,N
183,LEINAD,2022-06-10,N
184,NADIELLY,2022-06-10,N
185,ROSALHA,2022-06-10,N
186,RAILDE,2022-06-10,S
187,NAROLINO,2022-06-10,S
188,ROSEANA,2022-06-10,S
189,ELIZENE,2022-06-10,S
190,ROSMALI,2022-06-10,N
191,ELIENI,2022-06-10,N
192,EMILIE,2022-06-10,N
193,KIANY,2022-06-10,S
194,MARLISSE,2022-06-10,S
195,ADEITA,2022-06-10,N
196,CIDELCINA,2022-06-10,N
197,LEDI,2022-06-10,N
198,GLICIA,2022-06-10,N
199,ERICELIA,2022-06-10,N
200,RIANDRO,2022-06-10,S
201,ABDAO,2022-06-10,S
202,GENACI,2022-06-10,N
203,LILIA,2022-06-10,N
204,DEYVILLA,2022-06-10,S
205,TARICK,2022-06-10,N
206,MAISON,2022-06-10,S
207,CALMITA,2022-06-10,S
208,VELUZIA,2022-06-10,S
209,COROLINA,2022-06-10,N
210,MARIJA,2022-06-10,S
211,YAEKO,2022-06-10,N
212,NICOMEDES,2022-06-10,N
213,VAGNER,2022-06-10,N
214,MEIRIELEN,2022-06-10,S
215,CEDIR,2022-06-10,N
216,RICHAR,2022-06-10,N
217,MATAN,2022-06-10,N
218,CLEOFAS,2022-06-10,N
219,CARMINE,2022-06-10,N
220,ELIVANDER,2022-06-10,S
221,OSMANA,2022-06-10,S
222,DARDANE,2022-06-10,S
223,DONICE,2022-06-10,N
224,CLAUDIOVAN,2022-06-10,N
225,EDICIA,2022-06-10,N
226,PLOTINO,2022-06-10,N
227,TEOFILO,2022-06-10,S
228,ELIEZETE,2022-06-10,N
229,EVETE,2022-06-10,S
230,GILDENOR,2022-06-10,S
231,DILMA,2022-06-10,S
232,ALINE,2022-06-10,S
233,AZAURI,2022-06-10,N
234,ALDIENE,2022-06-10,N
235,GEISE,2022-06-10,S
236,KEISSON,2022-06-10,N
237,ESOLETE,2022-06-10,N
238,KERIN,2022-06-10,S
239,ELISEU,2022-06-10,S
240,KEILA,2022-06-10,N
241,WELION,2022-06-10,N
242,WARLESON,2022-06-10,N
243,WENIS,2022-06-10,N
244,GEUVANE,2022-06-10,N
245,ADJAILSON,2022-06-10,N
246,AUMARI,2022-06-10,N
247,EDEMARCIO,2022-06-10,N
248,JULHA,2022-06-10,S
249,TIAGO,2022-06-10,N
250,SIRLAINE,2022-06-10,S
251,JOCELI,2022-06-10,S
252,CLEVIA,2022-06-10,N
253,DAIVIANE,2022-06-10,N
254,CAIUA,2022-06-10,S
255,STELLY,2022-06-10,S
256,DEMISON,2022-06-10,S
257,IRAILDO,2022-06-10,S
258,VANDREZA,2022-06-10,N
259,EXEDO,2022-06-10,S
260,LECINDO,2022-06-10,N
261,VALCIDIO,2022-06-10,N
262,ENILDO,2022-06-10,S
263,DAFANI,2022-06-10,N
264,DAIELE,2022-06-10,S
265,BENVINA,2022-06-10,S
266,AGNI,2022-06-10,S
267,VALDNEI,2022-06-10,S
268,ADEVILSON,2022-06-10,S
269,MAXISON,2022-06-10,S
270,EZEQUIELE,2022-06-10,N
271,FRANCIMARY,2022-06-10,S
272,TAISE,2022-06-10,N
273,WALDILEIA,2022-06-10,S
274,ADARILSON,2022-06-10,N
275,JHONATTAS,2022-06-10,N
276,GLISIA,2022-06-10,N
277,CLEISON,2022-06-10,S
278,SUELI,2022-06-10,N
279,WASCHINTON,2022-06-10,S
280,ODENIA,2022-06-10,S
281,AZIMIRO,2022-06-10,S
282,TAINARIA,2022-06-10,N
283,ODARIA,2022-06-10,N
284,MARISTELLA,2022-06-10,S
285,DELANI,2022-06-10,N
286,GLEOMAR,2022-06-10,N
287,MARLINA,2022-06-10,N
288,LIDIA,2022-06-10,S
289,LISMARI,2022-06-10,N
290,STAVROS,2022-06-10,S
291,ADIVANIL,2022-06-10,N
292,IZELIA,2022-06-10,N
293,GILDASIO,2022-06-10,N
294,NICKOLLAS,2022-06-10,S
295,UELLINGTON,2022-06-10,S
296,EVELY,2022-06-10,S
297,ALMERINDA,2022-06-10,S
298,DELIRES,2022-06-10,S
299,ELIANE,2022-06-10,N
300,HILDERGARD,2022-06-10,S
301,ISTEFANO,2022-06-10,N
302,LARIZZA,2022-06-10,N
303,GUSTAV,2022-06-10,S
304,CLEMENSON,2022-06-10,S
305,ALNE,2022-06-10,S
306,FRANCIELI,2022-06-10,S
307,SINDICLEI,2022-06-10,S
308,DANE,2022-06-10,S
309,KAIANY,2022-06-10,N
310,ESTEFANIA,2022-06-10,S
311,IVANORA,2022-06-10,N
312,ADER,2022-06-10,S
313,ZENE,2022-06-10,S
314,VAUIRIS,2022-06-10,S
315,LEIDILEIA,2022-06-10,N
316,CRISTI,2022-06-10,N
317,NISO,2022-06-10,N
318,SIDINEI,2022-06-10,N
319,ROSISLENE,2022-06-10,S
320,ZENILDA,2022-06-10,S
321,ESTEFANI,2022-06-10,S
322,JOANAS,2022-06-10,N
323,RIQUE,2022-06-10,N
324,VLAUDEMIR,2022-06-10,S
325,CAROLAINE,2022-06-10,S
326,NICOLAS,2022-06-10,S
327,MARCIA,2022-06-10,S
328,CLAIANA,2022-06-10,N
329,ADELICI,2022-06-10,S
330,CREUCIANE,2022-06-10,N
331,INDIELE,2022-06-10,S
332,JOITA,2022-06-10,N
333,JHONE,2022-06-10,S
334,FRANCILEA,2022-06-10,S
335,AIDON,2022-06-10,N
336,JOQUIM,2022-06-10,N
337,GERICA,2022-06-10,N
338,ADRIANO,2022-06-10,N
339,IVONIZETE,2022-06-10,S
340,TATIENI,2022-06-10,N
341,FILOMENIA,2022-06-10,N
342,AREOMAR,2022-06-10,N
343,OZINEI,2022-06-10,S
344,ANDRINO,2022-06-10,N
345,DORACILIA,2022-06-10,S
346,QUEINA,2022-06-10,N
347,JULIENO,2022-06-10,N
348,ALDIR,2022-06-10,S
349,EDMEIA,2022-06-10,N
350,ALDREY,2022-06-10,S
351,DEISI,2022-06-10,N
352,JEMIS,2022-06-10,S
353,GLICIA,2022-06-10,S
354,MICHELLI,2022-06-10,N
355,ROANITO,2022-06-10,N
356,ERISNALVA,2022-06-10,N
357,LINA,2022-06-10,S
358,LORRANE,2022-06-10,N
359,ANAFLAVIA,2022-06-10,N
360,CLAUDIR,2022-06-10,N
361,WAIR,2022-06-10,S
362,EUZANE,2022-06-10,S
363,JORGR,2022-06-10,S
364,MUNA,2022-06-10,N
365,EVILASIO,2022-06-10,N
366,ARLEN,2022-06-10,S
367,ELVIA,2022-06-10,N
368,VANDEMILSON,2022-06-10,N
369,DEGINALDO,2022-06-10,N
370,OLERIANO,2022-06-10,N
371,CELIVANIA,2022-06-10,S
372,JUMARIO,2022-06-10,N
373,MAELI,2022-06-10,S
374,JANARIA,2022-06-10,S
375,IDELVANI,2022-06-10,N
376,MAIARE,2022-06-10,S
377,MELANI,2022-06-10,N
378,ADOMILTON,2022-06-10,S
379,JESUE,2022-06-10,N
380,AGIVALDO,2022-06-10,N
381,GISLEANE,2022-06-10,N
382,TEOBALDINA,2022-06-10,N
383,DARLINE,2022-06-10,N
384,REINALVA,2022-06-10,N
385,RUBIEL,2022-06-10,S
386,IRASILDA,2022-06-10,S
387,LAURICLEIDE,2022-06-10,N
388,RONIEL,2022-06-10,S
389,GESIMARA,2022-06-10,S
390,FLAISE,2022-06-10,N
391,VERCILENE,2022-06-10,N
392,IZAINA,2022-06-10,N
393,KELSION,2022-06-10,N
394,WELDIS,2022-06-10,N
395,EUFRANIA,2022-06-10,S
396,SUELI,2022-06-10,S
397,JEAMERSON,2022-06-10,S
398,BEATRIZ,2022-06-10,S
399,EDILAINE,2022-06-10,N
400,KEVENY,2022-06-10,N
401,FRANCIVON,2022-06-10,N
402,ELMER,2022-06-10,S
403,ROSILEUDO,2022-06-10,S
404,REURE,2022-06-10,N
405,WEKISLEY,2022-06-10,N
406,ADRIELE,2022-06-10,N
407,ISAMARA,2022-06-10,S
408,ZOIA,2022-06-10,S
409,LAUDELI,2022-06-10,N
410,NORITA,2022-06-10,N
411,OTAVIANA,2022-06-10,S
412,EMANUELA,2022-06-10,N
413,AIALA,2022-06-10,N
414,DARTANHA,2022-06-10,S
415,WILANE,2022-06-10,N
416,KAUE,2022-06-10,N
417,LARALINE,2022-06-10,S
418,ELIZANIO,2022-06-10,N
419,TIELI,2022-06-10,N
420,ONORIVAL,2022-06-10,N
421,KELIANE,2022-06-10,S
422,JAQUERSON,2022-06-10,N
423,JARDINA,2022-06-10,S
424,CLEBIANO,2022-06-10,S
425,ALCILAINE,2022-06-10,S
426,ERALDO,2022-06-10,S
427,EDONIR,2022-06-10,S
428,GILVAN,2022-06-10,N
429,JOSELIAS,2022-06-10,S
430,DERCIA,2022-06-10,N
431,ALBERTINA,2022-06-10,S
432,GREICIELI,2022-06-10,N
433,CLEUDIMAR,2022-06-10,S
434,ERCILHO,2022-06-10,S
435,ONELIA,2022-06-10,S
436,DIOVANDA,2022-06-10,S
437,EVALCIR,2022-06-10,N
438,JIAO,2022-06-10,S
439,TURIANO,2022-06-10,S
440,ELLERY,2022-06-10,S
441,CLEMESSON,2022-06-10,N
442,ALANIS,2022-06-10,S
443,MARACI,2022-06-10,S
444,JESUITO,2022-06-10,N
445,RADIR,2022-06-10,N
446,ISABELLY,2022-06-10,S
447,NEIRI,2022-06-10,S
448,DEONARA,2022-06-10,N
449,CLAUDITO,2022-06-10,S
450,LAISIANE,2022-06-10,S
451,ALMEZINDO,2022-06-10,N
452,REGILA,2022-06-10,N
453,ELETRA,2022-06-10,S
454,IRISSON,2022-06-10,N
455,GEIVA,2022-06-10,N
456,PEDRONILDA,2022-06-10,S
457,VALDIRO,2022-06-10,N
458,EIICHI,2022-06-10,S
459,VILMA,2022-06-10,N
460,BELIZA,2022-06-10,S
461,OSNAN,2022-06-10,N
462,DAIVISON,2022-06-10,S
463,GISELLE,2022-06-10,S
464,SAAD,2022-06-10,S
465,ELIETI,2022-06-10,S
466,ENRICO,2022-06-10,N
467,JANAINA,2022-06-10,N
468,NILZENE,2022-06-10,S
469,GABRIANE,2022-06-10,N
470,MARILIA,2022-06-10,N
471,ARNANI,2022-06-10,N
472,SEDNA,2022-06-10,N
473,ACINDINO,2022-06-10,N
474,ANANERE,2022-06-10,S
475,LINDEUZA,2022-06-10,N
476,KALEB,2022-06-10,N
477,AURILANIA,2022-06-10,S
478,MALIO,2022-06-10,S
479,ELOCI,2022-06-10,N
480,MARTIRES,2022-06-10,N
481,FRANCIANGELA,2022-06-10,N
482,MARIZETI,2022-06-10,S
483,GILCEIA,2022-06-10,S
484,LISLAINE,2022-06-10,S
485,AXON,2022-06-10,N
486,DEUSILAINE,2022-06-10,N
487,JUPIRACI,2022-06-10,N
488,JOSILEIA,2022-06-10,N
489,VALTEIR,2022-06-10,S
490,LUMARIA,2022-06-10,N
491,EDI,2022-06-10,S
492,ADILSON,2022-06-11,N
493,ROMILDES,2022-06-11,N
494,MARIARA,2022-06-11,S
495,ELIALDO,2022-06-11,S
496,SUELLY,2022-06-11,S
497,ADNAEL,2022-06-11,S
498,STEPHANIE,2022-06-11,N
499,PORFIRIO,2022-06-11,N
500,SOLEMAR,2022-06-11,S
501,ELIDA,2022-06-11,S
502,ITALO,2022-06-11,N
503,KELLIANY,2022-06-11,N
504,KEITLIN,2022-06-11,N
505,VIRO,2022-06-11,S
506,LILIA,2022-06-11,N
507,AZENAIDE,2022-06-11,N
508,MARINALVO,2022-06-11,N
509,DEBORA,2022-06-11,N
510,DELCINO,2022-06-11,N
511,NATIARA,2022-06-11,S
512,LUZIVANDA,2022-06-11,S
513,FRANCIELLY,2022-06-11,N
514,CALBI,2022-06-11,S
515,ANGELO,2022-06-11,N
516,ILCE,2022-06-11,S
517,ERMANDES,2022-06-11,N
518,ESPERIDIAO,2022-06-11,S
519,ADIVA,2022-06-11,S
520,JACKESON,2022-06-11,N
521,ARLANIA,2022-06-11,S
522,ANIELE,2022-06-11,S
523,WERLISON,2022-06-11,S
524,WALDERENE,2022-06-11,N
525,LUZIANE,2022-06-11,N
526,SUELI,2022-06-11,S
527,LEIDIVALDO,2022-06-11,N
528,AZILA,2022-06-11,S
529,SISLENE,2022-06-11,N
530,SHEILIANE,2022-06-11,S
531,ADJEFERSON,2022-06-11,S
532,LOSIVAL,2022-06-11,N
533,JORDELINO,2022-06-11,N
534,IRIVANDA,2022-06-11,S
535,CLERISVAN,2022-06-11,S
536,ISRAELI,2022-06-11,N
537,EGILDO,2022-06-11,S
538,SALATIEU,2022-06-11,S
539,SIDINEI,2022-06-11,N
540,ROSALHA,2022-06-11,N
541,MEIRIVAN,2022-06-11,S
542,LEIDILANE,2022-06-11,S
543,ANSELIO,2022-06-11,S
544,SILDEVAN,2022-06-11,N
545,ROJANIA,2022-06-11,S
546,VALDIK,2022-06-11,S
547,AZAEL,2022-06-11,S
548,DONILDES,2022-06-11,N
549,LURDENIR,2022-06-11,N
550,ANALICIA,2022-06-11,N
551,SAIRON,2022-06-11,N
552,WALDMIR,2022-06-11,S
553,DALVI,2022-06-11,N
554,DILEUZA,2022-06-11,N
555,OSEANE,2022-06-11,S
556,UDILENE,2022-06-11,N
557,ELISARA,2022-06-11,N
558,ERMISON,2022-06-11,S
559,ELENIZA,2022-06-11,S
560,KESIA,2022-06-11,S
561,MAILSON,2022-06-11,S
562,LUCIENO,2022-06-11,N
563,AROLDO,2022-06-11,N
564,LUCIONE,2022-06-11,N
565,JOVANILSON,2022-06-11,S
566,HENDRIK,2022-06-11,S
567,VARLUCIO,2022-06-11,N
568,JECONIAS,2022-06-11,N
569,ETHAN,2022-06-11,S
570,VILSEU,2022-06-11,S
571,ENERALDO,2022-06-11,N
572,NILO,2022-06-11,S
573,ETA,2022-06-11,N
574,GEONISIO,2022-06-11,S
575,RENALLY,2022-06-11,S
576,EDENILDE,2022-06-11,S
577,GERCE,2022-06-11,S
578,KAILANE,2022-06-11,S
579,VANDERLEIS,2022-06-11,S
580,DESIA,2022-06-11,N
581,ANERINA,2022-06-11,N
582,ACHILA,2022-06-11,S
583,SIRLAINE,2022-06-11,N
584,DULCENEIA,2022-06-11,N
585,ENDRIGO,2022-06-11,S
586,WANDERSON,2022-06-11,N
587,VIVILENE,2022-06-11,S
588,SAMUEL,2022-06-11,N
589,RAILAINE,2022-06-11,S
590,BENTINHA,2022-06-11,N
591,JOSI,2022-06-11,N
592,EDELISE,2022-06-11,S
593,GEREMILSON,2022-06-11,N
594,SUANI,2022-06-11,N
595,DALMACIO,2022-06-11,S
596,GENISE,2022-06-11,S
597,JANALIA,2022-06-11,N
598,ORCI,2022-06-11,S
599,KELVIO,2022-06-11,N
600,TEUMA,2022-06-11,N
601,MARI,2022-06-11,S
602,RAISSY,2022-06-11,S
603,WALISSON,2022-06-11,S
604,IMGARD,2022-06-11,N
605,REGIAN,2022-06-11,S
606,ARCELINA,2022-06-11,N
607,GLEIDIMAR,2022-06-11,S
608,ELAZIR,2022-06-11,N
609,NACER,2022-06-11,N
610,JONSON,2022-06-11,S
611,CATARINA,2022-06-11,S
612,MILANA,2022-06-11,S
613,MARDON,2022-06-11,S
614,DIJANIR,2022-06-11,S
615,CLEVANIR,2022-06-11,S
616,DAILA,2022-06-11,S
617,KERRY,2022-06-11,N
618,CLEODOMIRA,2022-06-11,N
619,ALDEANE,2022-06-11,S
620,ORDACI,2022-06-11,N
621,ABDENIO,2022-06-11,N
622,GERLIANA,2022-06-11,S
623,JOSENIR,2022-06-11,S
624,MICAELI,2022-06-11,S
625,ELOIRDES,2022-06-11,S
626,MIRELI,2022-06-11,S
627,SAMIA,2022-06-11,S
628,ADJARDO,2022-06-11,N
629,DIO,2022-06-11,N
630,JURI,2022-06-11,N
631,GILBERTO,2022-06-11,S
632,ELIVANIA,2022-06-11,N
633,ETUINO,2022-06-11,N
634,KELIN,2022-06-11,N
635,JESIEL,2022-06-11,N
636,VANESSE,2022-06-11,N
637,WALDERCI,2022-06-11,N
638,NGELA,2022-06-11,S
639,CLEDIR,2022-06-11,S
640,EDNAIR,2022-06-11,S
641,CASCIANO,2022-06-11,S
642,NOMARIA,2022-06-11,N
643,EZINEIDE,2022-06-11,S
644,MISLAINI,2022-06-11,N
645,GUILLERMO,2022-06-11,S
646,ELIZIENE,2022-06-11,N
647,LUSSIMAR,2022-06-11,S
648,JOSELAIDE,2022-06-11,S
649,LUESSA,2022-06-11,N
650,WALAS,2022-06-11,N
651,EUDOXA,2022-06-11,N
652,NAUR,2022-06-11,N
653,GENICI,2022-06-11,S
654,PATERSON,2022-06-11,N
655,VITOR,2022-06-11,N
656,RONIELLY,2022-06-11,S
657,VANDERLENE,2022-06-11,S
658,ANDRICO,2022-06-11,S
659,ALDILENE,2022-06-11,S
660,FAILON,2022-06-11,N
661,JONISON,2022-06-11,S
662,GERVESON,2022-06-11,N
663,MICASSIO,2022-06-11,N
664,DALTINA,2022-06-11,S
665,RAINI,2022-06-11,S
666,ARSELINO,2022-06-11,S
667,OSORIO,2022-06-11,S
668,DAISA,2022-06-11,S
669,HILDEBRANDA,2022-06-11,S
670,GILVACI,2022-06-11,S
671,EDERSON,2022-06-11,N
672,REINILDE,2022-06-11,S
673,VALMIZA,2022-06-11,S
674,CLODONILDO,2022-06-11,S
675,DARCIRIA,2022-06-11,N
676,JULIELE,2022-06-11,S
677,RUDGE,2022-06-11,S
678,EVANET,2022-06-11,S
679,ALINI,2022-06-11,N
680,MATATIAS,2022-06-11,N
681,VANDENILDO,2022-06-11,N
682,JOSIEL,2022-06-11,S
683,JONESCLEI,2022-06-11,S
684,ONILSON,2022-06-11,S
685,SANIELLE,2022-06-11,N
686,DORINALDO,2022-06-11,S
687,CREICE,2022-06-11,S
688,GUILHERMA,2022-06-11,S
689,CONCILIO,2022-06-11,N
690,ROSECLEIA,2022-06-11,N
691,DORIA,2022-06-11,N
692,IZILDO,2022-06-11,N
693,SOARA,2022-06-11,S
694,SUAIR,2022-06-11,N
695,NAISLA,2022-06-11,N
696,CELINA,2022-06-11,N
697,NEONILDO,2022-06-11,N
698,JOSELI,2022-06-11,N
699,EDMAICON,2022-06-11,N
700,ALISON,2022-06-11,N
701,CLEIDEANA,2022-06-11,S
702,FRANKLIN,2022-06-11,N
703,WANDRIO,2022-06-11,S
704,DIONILO,2022-06-11,S
705,ALANI,2022-06-11,N
706,FLORECI,2022-06-11,N
707,KETHELLYN,2022-06-11,N
708,ONIDIA,2022-06-11,N
709,VALDENIZIA,2022-06-11,N
710,ROABE,2022-06-11,S
711,ILGO,2022-06-11,N
712,IZENI,2022-06-11,S
713,ALDALIA,2022-06-11,S
714,GIRNALDO,2022-06-11,S
715,NUZIANE,2022-06-11,S
716,NILVALDA,2022-06-11,S
717,JAIANI,2022-06-11,N
718,INGRA,2022-06-11,N
719,OZILA,2022-06-11,N
720,ETIENETE,2022-06-11,S
721,RAIAN,2022-06-11,N
722,EDIONES,2022-06-11,N
723,ELIONORA,2022-06-11,S
724,WILZA,2022-06-11,N
725,NOELIA,2022-06-11,S
726,GIESA,2022-06-11,S
727,ROSINETA,2022-06-11,N
728,DIORGE,2022-06-11,S
729,JADIEL,2022-06-11,S
730,LIN,2022-06-11,N
731,ABEL,2022-06-11,S
732,LEOMARQUES,2022-06-11,N
733,LOIRENA,2022-06-11,N
734,AXANDRA,2022-06-11,N
735,MIRNE,2022-06-11,S
736,KESLER,2022-06-11,S
737,GERVACIO,2022-06-11,N
738,MANOELSON,2022-06-11,S
739,TOSHIO,2022-06-11,N
740,VALDENIR,2022-06-11,S
741,NARON,2022-06-11,S
742,TACIELI,2022-06-11,S
743,KELFANY,2022-06-11,N
744,WESTER,2022-06-11,N
745,SARQUIS,2022-06-11,N
746,ISABELLY,2022-06-11,N
747,VICELIO,2022-06-11,S
748,ARLIANE,2022-06-11,S
749,QUEROLEN,2022-06-11,N
750,JUDINALVA,2022-06-11,S
751,ELENISI,2022-06-11,S
752,ELIZENE,2022-06-11,S
753,LATIF,2022-06-11,N
754,FILIPINA,2022-06-11,S
755,GEISIA,2022-06-11,S
756,RIKELMA,2022-06-11,S
757,SELMA,2022-06-11,S
758,JESCICA,2022-06-11,S
759,SHELEN,2022-06-11,S
760,WALDIONOR,2022-06-11,N
761,ARDILEI,2022-06-11,S
762,GUARIM,2022-06-11,S
763,TAMILE,2022-06-11,S
764,MASUEL,2022-06-11,N
765,JUNILDE,2022-06-11,S
766,TEREZINHA,2022-06-11,S
767,EDILAINE,2022-06-11,S
768,JULHA,2022-06-11,S
769,JONSON,2022-06-11,N
770,GERLANDIO,2022-06-11,N
771,DONIZETTE,2022-06-11,N
772,MAINES,2022-06-11,N
773,JANELUCIA,2022-06-11,S
774,GERONICA,2022-06-11,S
775,GEBERTON,2022-06-11,S
776,JUSCELITA,2022-06-11,S
777,BRADLEY,2022-06-11,S
778,IDELZINA,2022-06-11,S
779,LEIVSON,2022-06-11,S
780,ASSIDIO,2022-06-11,N
781,IRIDES,2022-06-11,S
782,LEOZINA,2022-06-11,N
783,NEIRIVAN,2022-06-11,S
784,LEOVANE,2022-06-11,S
785,WELLINGTON,2022-06-11,S
786,ELEONORE,2022-06-11,S
787,UENE,2022-06-11,N
788,JOTACI,2022-06-11,N
789,ZULEDE,2022-06-11,S
790,ANAZILDA,2022-06-11,N
791,ALTEMIRA,2022-06-11,N
792,KATHLEEN,2022-06-11,N
793,TAILSON,2022-06-11,S
